event_id,queen_id,season_id,episode_id,event_type,decided_by_queen_id,notes,farewell
E0174,Q0233,US18,US18E09,LSFYL elimination,Q0229,Eliminated in Fannie: The Rusical,"Ladies, remember. The cage you're trapped in... Juicy! BRING IT HOME! I LOVE YOU forever! all of you! love Athena Dion xo"
E0175,Q0232,US18,US18E11,LSFYL elimination,Q0229,Eliminated in A Toast to Alyssa Edwards,Love all of you! ♡ Good Luck. Can ya take it? I'm Gone. 💋 - KP
E0176,Q0231,US18,US18E12,LSFYL elimination,,Eliminated in Episode 12,"In DiscordLand, I could be in the top next week!! I love y'all SOO much! You've changed my life! 💋 ♡ Discord Eat the Rich! BLM Protect Trans Lives!"
E0177,Q0230,US18,US18E13,LSFYL elimination,,Eliminated in Episode 13,"Love you all so much Thank you for everything Till we meet again on the road Love you, Love you, Love you 💋"
E0178,Q0229,US18,US18E14,LSFYL elimination,Q0227,Eliminated in Good Morning Bitches,"The juice is officially gone! Love you girls so much! Congratulations!!! - Love, Juicy 💋"
E0179,Q0039,US04,US04E09,eliminated,-,-,"Ms. Cheese loves you! Stay true 2 U girl / Chad, Needles, Latrice 💋 💋 💋 P.S. Phi Phi: Thank u love u"
E0180,Q0026,US03,US03E12,returned,-,Won the chance to return in 'Jocks in Frocks'; eliminated again the same episode,-
E0181,Q0038,US04,US04E10,returned,-,Returned via twist in 'DILFs: Dads I'd Like to Frock'; eliminated again the same episode,-
E0182,Q0059,US05,US05E02,eliminated,-,-,God bless America / viva Panamá / keep bearing light QUEENS / xoxo Serena ChaCha
E0183,Q0118,US10,US10E11,eliminated,-,-,-
E0184,Q0135,US11,US11E07,eliminated,-,Eliminated; returned in the finale (E13),-
E0185,Q0148,US12,US12E09,eliminated,-,-,"I hope I made you PROUD KANSAS city! Remember, yes Bitch you might be! PS Heidi unlike the other girls Im <sup>[<i><a href=""https://en.wikipedia.org/wiki/en:Sic"" title=""wikipedia:en:Sic"">Sic</a></i>]</sup> not leaving you A DAMN thing ♡ W X"
E0186,Q0175,US14,US14E11,eliminated,-,LaLaPaRuZa Smackdown elimination,"Dear Ladies, I'm so happy I have Found sisters in all y'all! I can't wait to KiKi w/y'all after this. Hope y'all the best, and most of all.... MAXINE!!! P.S ANGIE, Daesha, Jorgeous, Go all the way! my forever sistas / Love, Jasmine Kennedie"
E0187,Q0017,AS03,AS03E01,eliminated,,from Fandom MD (AS),I Love ya girls! Keep Rocking and Stay FABULOUS!
E0188,Q0094,AS03,AS03E02,eliminated,,from Fandom MD (AS),Wooo! Drag is Fun. Suck it ShangeLLA! 𓂸
E0189,Q0069,AS03,AS03E03,eliminated,,from Fandom MD (AS),LOVE U GIRLS BUT YA'LL KNOW THIS IS BOGUS! STAY AMAZING ♡ MILK \[drawing of udders\]
E0190,Q0092,AS03,AS03E04,eliminated,,from Fandom MD (AS),"LOVE ALL of you gals, Remember to keep it fair, Chi Chi 💋"
E0191,Q0109,AS03,AS03E05,eliminated,,from Fandom MD (AS),"I love u bitches ♡ honestly thank you from the bottom of my heart, yall inspire me so much - Aja xoxo"
E0192,Q0017,AS03,AS03E07,eliminated,,from Fandom MD (AS),"Let no one Dim your light! I Love you all Totally! SISTORS<sup>[<i><a href=""https://en.wikipedia.org/wiki/en:Sic"" class=""extiw"" title=""wikipedia:en:Sic"">Sic</a></i>]</sup> FOREVER! 💋"
E0193,Q0086,AS04,AS04E01,eliminated,,from Fandom MD (AS),Hey Jush much to you all. Kick face - luv Jasmine Masters
E0194,Q0108,AS04,AS04E02,eliminated,,from Fandom MD (AS),Shine bright ALL STARS! xoxo Farrah Moan 💋
E0195,Q0093,AS05,AS05E01,eliminated,,from Fandom MD (AS),SHOW UP & SHOW OUT ♡ Derrick Barry
E0196,Q0005,AS05,AS05E02,eliminated,,from Fandom MD (AS),I can't wait for our friendships to blossom more outside of this workroom! I love you! Ongina ♡
E0197,Q0029,AS05,AS05E03,eliminated,,from Fandom MD (AS),"Thanks for making this a better experience! Love, Mariah, aka Balenciaga, aka Paris, aka Successful, aka Bottom aka Mug4Dayz ♡x♡"
E0198,Q0123,AS05,AS05E04,eliminated,,from Fandom MD (AS),I am the QUEEN!
E0199,Q0030,AS05,AS05E05,eliminated,,from Fandom MD (AS),"Ladies, thank you all for showing me kindness still exists! The truth shall set you free!!! xoxo, India Ferrah. Humble ✓ Heart ✓ Happy ✓ Honest ✓ Love and Lashes!"
E0200,Q0024,AS05,AS05E06,eliminated,,from Fandom MD (AS),"Love you all... BAM! Alexis // Be your best, but be happy ♡ AS5"
E0201,Q0122,AS05,AS05E07,eliminated,,from Fandom MD (AS),Never stop Dreaming & Never stop Believing! PS: And do the shimmy shush! I love you all so much! Daddy Rich! Blair St. Clair
E0202,Q0059,AS06,AS06E01,eliminated,,from Fandom MD (AS),ChaCha Echa pa' fuera and buy some wigs XOXO Serena
E0203,Q0041,AS06,AS06E02,eliminated,,from Fandom MD (AS),It's been REAL! You may call me Jiggly!
E0204,Q0131,AS06,AS06E03,eliminated,,from Fandom MD (AS),#AllBlackLivesMatter #TransLivesMatter
E0205,Q0025,AS06,AS06E04,eliminated,,from Fandom MD (AS),Fuck You All! I'm kidding HAHAHA You Guys are Hilarious ✡✡✡ Yara Sofia
E0206,Q0136,AS06,AS06E05,eliminated,,from Fandom MD (AS),Bubbles pop – Keep Blowing! ♡ Scarlet
E0207,Q0130,AS06,AS06E06,eliminated,,from Fandom MD (AS),I AM THE MOOD + THE MOMENT! The light is 4EVA BRIGHT \[drawing of a silly face with tongue poking out\] MiZ A$$ Almighty
E0208,Q0149,AS06,AS06E07,eliminated,,from Fandom MD (AS),"I love you all SO much! Thank you for loving, supporting and caring for me. You're all SO special & I'm SO proud of you. Keeping slaying! I bow to you all! NOT THIS! ♡ Jan"
E0209,Q0014,AS06,AS06E08,eliminated,,from Fandom MD (AS),"It was lovely working with most of you! \wink\ So Long, and thanks for all the fish. ♡ Pandora"
E0210,Q0111,AS06,AS06E09,eliminated,,from Fandom MD (AS),"Kylie: You're the best and most beautiful spirit! // Ra'Jah: Your heart is pure gold! // Trinity: You're a fighter in the best way, NEVER STOP! // Ginger: You're a star and a Big Girl ICON! // What an amazing Top 4 You're all weiners to me! #werehere ❤️ Eureka"
E0211,Q0067,AS06,AS06E11,eliminated,,from Fandom MD (AS),What a Fantastic 4! yalls NUM 1 FAN! T.K.B
E0212,Q0058,AS08,AS08E01,eliminated,,from Fandom MD (AS),Stay true to yourself. Love you All -♡- M.B.H.
E0213,Q0097,AS08,AS08E02,eliminated,,from Fandom MD (AS),"God has a different plan for me, and that’s fine by me. Have fun and love you all! XOXO Naysha. P.S, I’m still prettier than all of you."
E0214,Q0085,AS08,AS08E03,eliminated,,from Fandom MD (AS),"Look in your eyes and say I love you! Daily! Love you all, Miss Kasha ♡ =("
E0215,Q0064,AS08,AS08E04,eliminated,,from Fandom MD (AS),"Darienne was here, twice! Love and laughs, see you soon? Miss Lake."
E0216,Q0114,AS08,AS08E06,eliminated,,from Fandom MD (AS),I Shit in one of your spots. Good luck. ☺ P.S. Love you all ♡ Jaymes Mansfield
E0217,Q0140,AS08,AS08E07,eliminated,,from Fandom MD (AS),I adore ALL of You. This has Changed Me Forever! Love Kahanna XO
E0218,Q0164,AS08,AS08E08,eliminated,,from Fandom MD (AS),Baby! I had the time of my life! I love y'all! XOXO LaLa Ri // I'm stealing everything!
E0219,Q0105,AS08,AS08E09,eliminated,,from Fandom MD (AS),"You're my sisters, always. xoxo Miss Manpig '23"
E0220,Q0015,AS08,AS08E10,eliminated,,from Fandom MD (AS),Love you girls with all my heart ♡ So proud of u Top 2! Kandy Muse Puerto Rico y Rep Dom Estamos orgullosos de tio
E0221,Q0056,US05,US05E04,eliminated,-,Double sashay with Honey Mahogany (E0042); first double elimination in herstory,"""I love all my girls! Here's to the Ru-volution of the FISH! ♡ Always, Vivienne Pinay"""
E0222,Q0080,US07,US07E08,returned,-,Returned via the 'Conjoined Queens' twist; won re-entry paired with Pearl,-
E0223,Q0100,US08,US08E02,eliminated,-,Double sashay with Dax ExclamationPoint (E0073),"""You're all the biggest pack of freaks and I'm so ""happy"" to call you ""family"". But actually, I love you all & can't wait for the future with you! xoxo Laila! PS. 1 less MADONNA"""
E0224,Q0097,US08,US08E03,returned,-,Returned in episode 3 (Fandom grid: RTRN + SAFE Team Captain),-
E0225,Q0098,US09,US09E01,returned,-,Re-entered the competition at the end of the season premiere,-
E0226,Q0174,US14,US14E13,eliminated,-,Double elimination with DeJa Skye (E0134),"""Sucess is a journey not a destination / I love yall very much / Gorgeous like Jorgeous"""
E0227,Q0420,DU01,DU01E01,eliminated,-,-,"""I am so happy to call each & everyone of you mob (sisters). Bring that crown home Aussie Aussie Aussie Oi Oi Oi xoxo Jojo Zaho x now clean this mirror Bitch lol"""
E0228,Q0413,DU01,DU01E02,eliminated,-,-,"""P.S WATCH Highway to heel! REDRUM ART Karen bring home that crown"""
E0229,Q0419,DU01,DU01E03,eliminated,-,-,"""I You My Sisters The Party STARTS NOW!!! Jumbo!! PS WATCH OUT Bitch!"""
