lip_sync_id,episode_id,song_id,queen_a_id,queen_b_id,winner_id,loser_id,result_type,was_save,notes
L0800,UK07E07,S0445,Q0377,Q0383,Q0377,Q0383,NORMAL,No,from Fandom MD (UK)
L0801,UK07E08,S0446,Q0382,Q0379,Q0379,Q0382,NORMAL,No,from Fandom MD (UK)
L0802,UK07E09,S0447,Q0379,Q0381,Q0379,Q0381,NORMAL,No,from Fandom MD (UK)
L0803,UK07E10,S0083,Q0377,Q0378,Q0377,,CROWN,No,finale lip sync for the crown; Bones crowned. from Fandom MD (UK)
L0804,CA01E01,S0397,Q0252,Q0245,Q0245,Q0252,NORMAL,No,from Fandom MD (CA)
L0805,CA01E02,S0398,Q0251,Q0249,Q0249,Q0251,NORMAL,No,from Fandom MD (CA)
L0806,CA01E03,S0399,Q0250,Q0249,Q0249,Q0250,NORMAL,No,from Fandom MD (CA)
L0807,CA01E04,S0400,Q0246,Q0249,Q0246,Q0249,NORMAL,No,from Fandom MD (CA)
L0808,CA01E05,S0401,Q0248,Q0242,Q0242,Q0248,NORMAL,No,from Fandom MD (CA)
L0809,CA01E06,S0402,Q0247,Q0246,Q0246,Q0247,NORMAL,No,from Fandom MD (CA)
L0810,CA01E07,S0403,Q0246,Q0242,Q0242,Q0246,NORMAL,No,from Fandom MD (CA)
L0811,CA01E08,S0404,Q0245,Q0243,Q0243,Q0245,NORMAL,No,from Fandom MD (CA)
L0812,CA01E09,S0405,Q0241,Q0243,Q0243,Q0241,NORMAL,No,from Fandom MD (CA)
L0813,CA02E01,S0382,Q0264,Q0256,Q0256,Q0264,NORMAL,No,from Fandom MD (CA)
L0814,CA02E02,S0383,Q0253,Q0263,Q0253,Q0263,NORMAL,No,from Fandom MD (CA)
L0815,CA02E03,S0384,Q0262,Q0259,Q0259,Q0262,NORMAL,No,from Fandom MD (CA)
L0816,CA02E04,S0385,Q0260,Q0261,Q0260,Q0261,NORMAL,No,from Fandom MD (CA)
L0817,CA02E05,S0386,Q0260,Q0259,Q0259,Q0260,NORMAL,No,from Fandom MD (CA)
L0818,CA02E06,S0387,Q0254,Q0259,Q0254,Q0259,NORMAL,No,from Fandom MD (CA)
L0819,CA02E07,S0388,Q0256,Q0258,Q0256,Q0258,NORMAL,No,from Fandom MD (CA)
L0820,CA02E08,S0389,Q0257,Q0253,Q0253,Q0257,NORMAL,No,from Fandom MD (CA)
L0821,CA03E01,S0414,Q0276,Q0275,Q0275,Q0276,NORMAL,No,from Fandom MD (CA)
L0822,CA03E02,S0415,Q0266,Q0275,Q0266,Q0275,NORMAL,No,from Fandom MD (CA)
L0823,CA03E03,S0416,Q0274,Q0268,Q0268,Q0274,NORMAL,No,from Fandom MD (CA)
L0824,CA03E04,S0417,Q0273,Q0266,Q0266,Q0273,NORMAL,No,from Fandom MD (CA)
L0825,CA03E05,S0418,Q0267,Q0272,Q0267,Q0272,NORMAL,No,from Fandom MD (CA)
L0826,CA03E06,S0419,Q0271,Q0270,Q0270,Q0271,NORMAL,No,from Fandom MD (CA)
L0827,CA03E07,S0420,Q0265,Q0270,Q0265,Q0270,NORMAL,No,from Fandom MD (CA)
L0828,CA03E08,S0421,Q0267,Q0269,Q0267,Q0269,NORMAL,No,from Fandom MD (CA)
L0829,CA04E07,S0428,Q0279,Q0282,Q0279,Q0282,NORMAL,No,from Fandom MD (CA)
L0830,CA04E08,S0429,Q0281,Q0280,Q0280,Q0281,NORMAL,No,from Fandom MD (CA)
L0831,CA05E07,S0411,Q0288,Q0293,Q0288,Q0293,NORMAL,No,from Fandom MD (CA)
L0832,CA05E08,S0412,Q0289,Q0292,Q0289,Q0292,NORMAL,No,from Fandom MD (CA)
L0833,CA06E07,S0395,Q0301,Q0304,Q0301,Q0304,NORMAL,No,from Fandom MD (CA)
L0834,CA06E08,S0396,Q0303,Q0302,Q0302,Q0303,NORMAL,No,from Fandom MD (CA)
L0835,CW01E01,S0499,Q0243,Q0335,Q0335,,TOPS,No,top-two lip sync for the win; elimination decided separately. from Fandom MD (CW)
L0836,CW01E02,S0500,Q0253,Q0135,Q0253,,TOPS,No,top-two lip sync for the win; elimination decided separately. from Fandom MD (CW)
L0837,CW01E03,S0325,Q0131,Q0340,Q0131,,TOPS,No,top-two lip sync for the win; elimination decided separately. from Fandom MD (CW)
L0838,CW01E04,S0501,Q0131,Q0340,Q0340,,TOPS,No,top-two lip sync for the win; elimination decided separately. from Fandom MD (CW)
L0839,CW01E05,S0502,Q0243,Q0340,Q0243,,TOPS,No,top-two lip sync for the win; elimination decided separately. from Fandom MD (CW)
L0840,GA01E01,S0042,Q0052,Q0391,,,TOPS,No,top-two lip sync for the win. from Fandom MD (GA)
L0841,GA01E02,S0503,Q0397,Q0394,Q0394,,TOPS,No,top-two lip sync for the win. from Fandom MD (GA)
L0842,GA01E03,S0504,Q0399,Q0396,Q0396,Q0399,NORMAL,No,from Fandom MD (GA)
L0843,GA01E04,S0489,Q0398,Q0394,Q0394,Q0398,NORMAL,No,from Fandom MD (GA)
L0844,GA01E05,S0505,Q0397,Q0395,Q0395,Q0397,NORMAL,No,from Fandom MD (GA)
L0845,GA01E06,S0109,Q0395,Q0396,Q0395,Q0396,NORMAL,No,from Fandom MD (GA)
L0846,GA01E07,S0506,Q0395,Q0394,Q0394,Q0395,NORMAL,No,from Fandom MD (GA)
L0847,GA01E08,S0401,Q0255,Q0394,Q0394,Q0255,NORMAL,No,from Fandom MD (GA)
L0848,GA01E09,S0025,Q0334,Q0394,Q0334,Q0394,NORMAL,No,from Fandom MD (GA)
L0849,GA01E10,S0019,Q0391,Q0393,Q0391,Q0393,NORMAL,No,from Fandom MD (GA)
L0850,UW01E01,S0521,Q0241,Q0401,Q0401,,TOPS,No,top-two lip sync for the win; elimination decided separately. from Fandom MD (UW)
L0851,UW01E02,S0522,Q0400,Q0241,Q0400,,TOPS,No,top-two lip sync for the win; elimination decided separately. from Fandom MD (UW)
L0852,UW01E03,S0523,Q0400,Q0401,Q0401,,TOPS,No,top-two lip sync for the win; elimination decided separately. from Fandom MD (UW)
