lip_sync_id,episode_id,song_id,queen_a_id,queen_b_id,winner_id,loser_id,result_type,was_save,notes
L0393,US08E01,S0076,Q0100,Q0097,Q0100,Q0097,NORMAL,No,Naysha eliminated (1st time)
L0394,US08E02,S0077,Q0099,Q0100,,,SASHAY,No,double elimination - both Dax and Laila out
L0395,US08E03,S0216,Q0098,Q0095,Q0095,Q0098,NORMAL,No,Cynthia eliminated
L0396,US08E04,S0079,Q0092,Q0097,Q0092,Q0097,NORMAL,No,Naysha re-eliminated; 9th
L0397,US08E05,S0080,Q0096,Q0091,Q0091,Q0096,NORMAL,No,Acid Betty eliminated
L0398,US08E06,S0081,Q0093,Q0095,Q0093,Q0095,NORMAL,No,Robbie eliminated
L0399,US08E07,S0082,Q0092,Q0094,Q0092,Q0094,NORMAL,No,Thorgy eliminated; acclaimed Chi Chi performance
L0400,US08E08,S0083,Q0089,Q0093,Q0089,Q0093,NORMAL,No,Derrick eliminated
L0401,US08E09,S0084,Q0089,Q0092,Q0089,Q0092,TOPS,No,4-way LSFTW (Bob/ChiChi/Kim/Naomi); Chi Chi eliminated 4th
L0402,US08E10,S0217,Q0089,Q0090,Q0089,,CROWN,No,finale 3-way (Bob/Kim/Naomi) original songs; Bob crowned
L0417,US10E01,S0097,Q0126,Q0127,Q0126,Q0127,NORMAL,No,Vanjie eliminated (Miss Vanjie meme)
L0418,US10E02,S0098,Q0111,Q0126,Q0111,Q0126,NORMAL,No,Kalorie eliminated
L0419,US10E03,S0099,Q0123,Q0125,Q0123,Q0125,NORMAL,No,Yuhua eliminated
L0420,US10E04,S0100,Q0124,Q0119,Q0119,Q0124,NORMAL,No,Dusty eliminated
L0421,US10E05,S0220,Q0123,Q0119,Q0119,Q0123,NORMAL,No,Mayhem eliminated
L0422,US10E06,S0102,Q0122,Q0120,Q0120,Q0122,NORMAL,No,Blair eliminated
L0423,US10E07,S0103,Q0121,Q0120,Q0120,Q0121,NORMAL,No,Monique eliminated
L0424,US10E08,S0104,Q0117,Q0120,Q0117,Q0120,NORMAL,No,Vixen eliminated
L0425,US10E09,S0105,Q0111,Q0116,,,SHANTAY,Yes,double shantay - none eliminated
L0426,US10E10,S0106,Q0116,Q0119,Q0116,Q0119,NORMAL,No,Monét eliminated
L0427,US10E11,S0107,Q0116,Q0118,Q0116,Q0118,NORMAL,No,Miz Cracker eliminated
L0428,US10E12,S0108,Q0115,Q0117,Q0115,Q0117,TOPS,No,4-way LSFTW (Aquaria/Asia/Eureka/Kameron); all advance to crown smackdown
L0429,US10E14,S0221,Q0116,Q0117,Q0116,Q0117,SURVIVAL,Yes,crown smackdown R1; Asia out 4th
L0430,US10E14,S0222,Q0115,Q0111,,,SHANTAY,Yes,crown smackdown R1; both Aquaria & Eureka advance
L0431,US10E14,S0109,Q0115,Q0116,Q0115,,CROWN,No,crown smackdown FINAL 3-way (Aquaria/Eureka/Kameron); Aquaria crowned
L0432,US09E02,S0085,Q0114,Q0113,Q0113,Q0114,NORMAL,No,Jaymes eliminated
L0433,US09E03,S0086,Q0109,Q0113,Q0109,Q0113,NORMAL,No,Kimora eliminated
L0434,US09E04,S0087,Q0112,Q0104,Q0104,Q0112,NORMAL,No,Charlie eliminated
L0435,US09E05,S0088,Q0098,Q0108,,,SHANTAY,Yes,Eureka medical withdrawal; both saved
L0436,US09E06,S0089,Q0098,Q0102,Q0102,Q0098,NORMAL,No,Cynthia eliminated
L0437,US09E07,S0090,Q0109,Q0106,Q0106,Q0109,NORMAL,No,Aja eliminated
L0438,US09E08,S0091,Q0105,Q0108,Q0105,Q0108,NORMAL,No,Farrah eliminated
L0439,US09E09,S0092,Q0106,Q0107,Q0106,Q0107,NORMAL,No,Valentina eliminated (mask controversy)
L0440,US09E10,S0093,Q0106,Q0103,Q0103,Q0106,NORMAL,No,Nina eliminated
L0441,US09E11,S0094,Q0105,Q0102,Q0102,Q0105,NORMAL,No,Alexis eliminated
L0442,US09E12,S0095,Q0102,Q0101,Q0102,Q0101,TOPS,No,4-way LSFTW (Pep/Sasha/Shea/Trinity); all advance to crown smackdown
L0443,US09E14,S0005,Q0102,Q0104,Q0102,Q0104,SURVIVAL,Yes,crown smackdown R1; Trinity out 4th
L0444,US09E14,S0218,Q0101,Q0103,Q0101,Q0103,SURVIVAL,Yes,crown smackdown R1; Shea out 3rd
L0445,US09E14,S0219,Q0101,Q0102,Q0101,,CROWN,No,crown smackdown FINAL; Sasha crowned (rose petal reveal)
L0446,US11E01,S0223,Q0140,Q0141,Q0140,Q0141,NORMAL,No,Soju eliminated
L0447,US11E02,S0111,Q0140,Q0138,Q0138,Q0140,NORMAL,No,Kahanna eliminated
L0448,US11E03,S0224,Q0130,Q0139,Q0130,Q0139,NORMAL,No,4-way LSFTYL (A'keria/Honey/Plastique/Ra'Jah); Honey eliminated
L0449,US11E04,S0113,Q0138,Q0135,Q0135,Q0138,NORMAL,No,Mercedes eliminated
L0450,US11E05,S0225,Q0137,Q0133,Q0133,Q0137,NORMAL,No,Ariel eliminated
L0451,US11E06,S0115,Q0135,Q0136,Q0135,Q0136,NORMAL,No,Scarlet eliminated
L0452,US11E07,S0116,Q0130,Q0135,Q0130,Q0135,NORMAL,No,Ra'Jah eliminated
L0453,US11E08,S0117,Q0129,Q0128,,,SHANTAY,Yes,double shantay - none eliminated
L0454,US11E09,S0118,Q0134,Q0127,Q0127,Q0134,NORMAL,No,Plastique eliminated
L0455,US11E10,S0119,Q0133,Q0127,Q0127,Q0133,NORMAL,No,Shuga eliminated
L0456,US11E11,S0120,Q0132,Q0131,Q0131,Q0132,NORMAL,No,Nina West eliminated
L0457,US11E12,S0226,Q0129,Q0127,Q0129,Q0127,NORMAL,No,Vanjie eliminated; 5th
L0458,US11E14,S0227,Q0129,Q0131,Q0129,Q0131,SURVIVAL,Yes,crown smackdown R1; Silky out 4th/3rd
L0459,US11E14,S0228,Q0128,Q0130,Q0128,Q0130,SURVIVAL,Yes,crown smackdown R1; A'keria out 3rd
L0460,US11E14,S0229,Q0128,Q0129,Q0128,,CROWN,No,crown smackdown FINAL; Yvie crowned
L0461,US12E01,S0123,Q0143,Q0148,Q0148,Q0143,TOPS,No,LSFTW top2; Widow won the week
L0462,US12E02,S0124,Q0144,Q0145,Q0144,Q0145,TOPS,No,LSFTW top2; Jaida won the week
L0463,US12E03,S0125,Q0154,Q0152,Q0152,Q0154,NORMAL,No,Dahlia eliminated
L0464,US12E04,S0126,Q0150,Q0153,Q0150,Q0153,NORMAL,No,Rock M. Sakura eliminated
L0465,US12E05,S0127,Q0147,Q0152,Q0147,Q0152,NORMAL,No,Nicky Doll eliminated
L0466,US12E06,S0128,Q0151,Q0150,Q0150,Q0151,NORMAL,No,Aiden eliminated
L0467,US12E07,S0129,Q0150,Q0147,Q0147,Q0150,NORMAL,No,Brita eliminated
L0468,US12E08,S0130,Q0149,Q0148,Q0148,Q0149,NORMAL,No,Jan eliminated
L0469,US12E09,S0131,Q0146,Q0148,Q0146,Q0148,NORMAL,No,Widow eliminated
L0470,US12E10,S0132,Q0147,Q0146,,,SHANTAY,Yes,double shantay - none eliminated
L0471,US12E11,S0133,Q0147,Q0144,Q0144,Q0147,NORMAL,No,Heidi eliminated; 6th
L0472,US12E12,S0134,Q0142,Q0146,Q0142,Q0146,NORMAL,No,Jackie eliminated; 5th
L0473,US12E14,S0135,Q0144,Q0143,Q0144,,CROWN,No,finale virtual 3-way (Crystal/Gigi/Jaida); Jaida crowned
L0474,US13E01,S0230,Q0156,Q0166,Q0156,Q0166,SURVIVAL,Yes,premiere extravaganza; Kandy stays (winners group)
L0475,US13E01,S0043,Q0164,Q0162,Q0164,Q0162,SURVIVAL,Yes,premiere extravaganza; LaLa stays
L0476,US13E01,S0231,Q0155,Q0165,Q0155,Q0165,SURVIVAL,Yes,premiere extravaganza; Symone stays
L0477,US13E01,S0232,Q0157,Q0160,Q0157,Q0160,SURVIVAL,Yes,premiere extravaganza; Gottmik stays
L0478,US13E01,S0233,Q0159,Q0158,Q0159,Q0158,SURVIVAL,Yes,premiere extravaganza; Olivia stays
L0479,US13E01,S0234,Q0161,Q0163,Q0161,Q0163,SURVIVAL,Yes,premiere 3-way (Tina/Elliott/Kahmora); Tina stays
L0480,US13E02,S0136,Q0155,Q0159,Q0155,Q0159,TOPS,No,LSFTW winners group; Symone won week
L0481,US13E03,S0137,Q0162,Q0158,Q0162,Q0158,TOPS,No,LSFTW losers group; Denali won week
L0482,US13E04,S0138,Q0162,Q0167,Q0162,Q0167,NORMAL,No,Kahmora eliminated
L0483,US13E05,S0139,Q0166,Q0164,Q0164,Q0166,NORMAL,No,Joey eliminated
L0484,US13E06,S0235,Q0156,Q0165,Q0156,Q0165,NORMAL,No,Tamisha eliminated
L0485,US13E07,S0141,Q0163,Q0164,Q0163,Q0164,NORMAL,No,LaLa eliminated
L0486,US13E08,S0236,Q0156,Q0155,,,SHANTAY,Yes,double shantay - none eliminated
L0487,US13E09,S0143,Q0163,Q0160,Q0160,Q0163,NORMAL,No,Elliott eliminated
L0488,US13E10,S0144,Q0162,Q0159,Q0159,Q0162,NORMAL,No,Denali eliminated
L0489,US13E11,S0145,Q0161,Q0160,Q0160,Q0161,NORMAL,No,Tina eliminated
L0490,US13E12,S0146,Q0155,Q0160,Q0155,Q0160,NORMAL,No,Utica eliminated
L0491,US13E13,S0147,Q0156,Q0159,Q0156,Q0159,NORMAL,No,Olivia eliminated; 5th
L0492,US13E14,S0237,Q0155,Q0156,Q0155,Q0156,TOPS,No,4-way LSFTW (Gottmik/Kandy/Rosé/Symone); none eliminated
L0493,US13E16,S0111,Q0156,Q0158,Q0156,Q0158,SURVIVAL,Yes,crown smackdown R1; Rosé out 4th
L0494,US13E16,S0238,Q0155,Q0157,Q0155,Q0157,SURVIVAL,Yes,crown smackdown R1; Gottmik out 3rd
L0495,US13E16,S0239,Q0155,Q0156,Q0155,,CROWN,No,crown smackdown FINAL; Symone crowned
L0496,US14E01,S0148,Q0181,Q0178,Q0181,Q0178,NORMAL,No,Orion eliminated (1st time)
L0497,US14E02,S0240,Q0172,Q0173,Q0173,Q0172,NORMAL,No,Daya eliminated (1st time)
L0498,US14E03,S0556,Q0181,Q0177,Q0177,Q0181,NORMAL,No,June eliminated
L0499,US14E04,S0151,Q0180,Q0176,Q0176,Q0180,NORMAL,No,Alyssa eliminated
L0500,US14E05,S0152,Q0174,Q0178,Q0174,Q0178,NORMAL,No,Orion re-eliminated; 11th
L0501,US14E06,S0153,Q0175,Q0177,Q0175,Q0177,NORMAL,No,Maddy eliminated
L0502,US14E07,S0241,Q0172,Q0169,Q0169,Q0172,TOPS,No,"LSFTW; Camden won week, none eliminated"
L0503,US14E08,S0242,Q0175,Q0176,Q0175,Q0176,NORMAL,No,Kerri eliminated (Sasha Colby's drag daughter)
L0504,US14E09,S0243,Q0175,Q0174,,,SHANTAY,Yes,double shantay - none eliminated
L0505,US14E11,S0244,Q0172,Q0175,Q0172,Q0175,SURVIVAL,Yes,LaLaPaRuZa R1; Daya advances
L0506,US14E11,S0245,Q0168,Q0171,Q0168,Q0171,SURVIVAL,Yes,LaLaPaRuZa R1; Willow advances
L0507,US14E11,S0246,Q0174,Q0169,Q0174,Q0169,SURVIVAL,Yes,LaLaPaRuZa 3-way (Angeria/Jorgeous/Camden); Jorgeous advances
L0508,US14E11,S0247,Q0169,Q0171,Q0169,Q0171,SURVIVAL,Yes,LaLaPaRuZa R2; Camden advances
L0509,US14E11,S0248,Q0170,Q0175,Q0170,Q0175,SURVIVAL,Yes,LaLaPaRuZa R2; Angeria advances
L0510,US14E11,S0249,Q0171,Q0175,Q0171,Q0175,NORMAL,No,LaLaPaRuZa final; Jasmine eliminated 8th
L0511,US14E12,S0250,Q0171,Q0174,,,SHANTAY,Yes,Bosco lost but saved by golden chocolate bar; none eliminated
L0512,US14E13,S0157,Q0172,Q0173,Q0172,Q0173,NORMAL,No,3-way (Daya/DeJa/Jorgeous); DeJa eliminated 6th
L0513,US14E14,S0158,Q0170,Q0168,,,SHANTAY,Yes,all 5 advance to finale - none eliminated
L0514,US14E16,S0251,Q0169,Q0168,Q0168,,CROWN,No,finale top-2; Willow crowned (1st trans winner of main series)
L0539,US16E01,S0171,Q0201,Q0199,Q0199,Q0201,TOPS,No,top-2 LSFTW; Sapphira won week
L0540,US16E02,S0172,Q0208,Q0200,Q0200,Q0208,TOPS,No,top-2 LSFTW; Plane Jane won week
L0541,US16E03,S0173,Q0208,Q0211,Q0208,Q0211,NORMAL,No,Hershii eliminated
L0542,US16E04,S0174,Q0208,Q0210,Q0208,Q0210,NORMAL,No,Mirage eliminated
L0543,US16E05,S0175,Q0209,Q0201,Q0201,Q0209,NORMAL,No,Amanda eliminated
L0544,US16E06,S0176,Q0208,Q0204,Q0204,Q0208,NORMAL,No,Geneva eliminated
L0545,US16E07,S0177,Q0207,Q0204,Q0204,Q0207,NORMAL,No,Megami eliminated
L0546,US16E08,S0178,Q0202,Q0206,Q0202,Q0206,NORMAL,No,Xunami eliminated
L0547,US16E09,S0252,Q0204,Q0205,Q0204,Q0205,NORMAL,No,Plasma eliminated
L0548,US16E10,S0180,Q0202,Q0199,Q0199,Q0202,TOPS,No,top-2 LSFTW; Sapphira won week
L0549,US16E11,S0181,Q0204,Q0202,Q0202,Q0204,NORMAL,No,Mhi'ya eliminated
L0550,US16E12,S0182,Q0203,Q0202,Q0202,Q0203,NORMAL,No,Dawn eliminated
L0551,US16E13,S0183,Q0202,Q0199,Q0199,Q0202,NORMAL,No,Morphine eliminated; 5th
L0552,US16E14,S0184,Q0200,Q0201,Q0200,Q0201,NORMAL,No,Q eliminated 4th; Plane Jane advanced to top 3
L0553,US16E15,S0253,Q0209,Q0203,Q0209,Q0203,SURVIVAL,Yes,LaLaPaRuZa R1
L0554,US16E15,S0254,Q0207,Q0201,Q0207,Q0201,SURVIVAL,Yes,LaLaPaRuZa R1
L0555,US16E15,S0255,Q0208,Q0202,Q0202,Q0208,SURVIVAL,Yes,LaLaPaRuZa R1
L0556,US16E15,S0256,Q0211,Q0210,Q0210,Q0211,SURVIVAL,Yes,LaLaPaRuZa R1
L0557,US16E15,S0257,Q0204,Q0205,Q0204,Q0205,SURVIVAL,Yes,LaLaPaRuZa R1 3-way (Mhi'ya/Plasma/Xunami)
L0558,US16E15,S0258,Q0207,Q0209,Q0207,Q0209,SURVIVAL,Yes,LaLaPaRuZa R2
L0559,US16E15,S0259,Q0210,Q0202,Q0202,Q0210,SURVIVAL,Yes,LaLaPaRuZa R2
L0560,US16E15,S0260,Q0207,Q0204,Q0207,Q0204,SURVIVAL,Yes,LaLaPaRuZa R3
L0561,US16E15,S0185,Q0207,Q0202,Q0202,Q0207,SURVIVAL,Yes,LaLaPaRuZa FINAL; Morphine wins SDADHH
L0562,US16E16,S0186,Q0198,Q0199,Q0198,,CROWN,No,finale top-2; Nymphia crowned (1st East Asian winner)
L0563,US17E01,S0187,Q0213,Q0216,Q0216,Q0213,TOPS,No,top-2 LSFTW; Suzie won week
L0564,US17E02,S0188,Q0220,Q0215,Q0215,Q0220,TOPS,No,top-2 LSFTW; Lexi won week
L0565,US17E02,S0261,Q0225,Q0224,,,SHANTAY,Yes,bottom LS; Hormona lost but saved by Badonka Dunk Tank - none eliminated
L0566,US17E03,S0262,Q0223,Q0222,Q0223,Q0222,NORMAL,No,Lucky eliminated
L0567,US17E04,S0190,Q0223,Q0219,Q0219,Q0223,NORMAL,No,Joella eliminated
L0568,US17E05,S0191,Q0221,Q0218,,,SHANTAY,Yes,Arrietty lost but saved by Badonka Dunk Tank - none eliminated
L0569,US17E06,S0263,Q0224,Q0217,Q0217,Q0224,NORMAL,No,Hormona eliminated
L0570,US17E07,S0264,Q0220,Q0217,Q0217,Q0220,NORMAL,No,Crystal Envy eliminated
L0571,US17E08,S0265,Q0225,Q0219,Q0219,Q0225,NORMAL,No,Acacia eliminated
L0572,US17E09,S0266,Q0219,Q0218,Q0218,Q0219,NORMAL,No,Kori eliminated
L0573,US17E10,S0267,Q0221,Q0213,Q0213,Q0221,NORMAL,No,Arrietty eliminated
L0574,US17E11,S0268,Q0217,Q0218,Q0217,Q0218,NORMAL,No,Lydia eliminated
L0575,US17E12,S0269,Q0217,Q0214,Q0214,Q0217,NORMAL,No,Lana eliminated
L0576,US17E13,S0270,Q0213,Q0212,,,SHANTAY,Yes,double shantay - none eliminated
L0577,US17E14,S0192,Q0214,Q0216,Q0214,Q0216,NORMAL,No,Suzie eliminated; 5th
L0578,US17E15,S0271,Q0224,Q0218,Q0218,Q0224,SURVIVAL,Yes,LaLaPaRuZa R1
L0579,US17E15,S0194,Q0223,Q0216,Q0216,Q0223,SURVIVAL,Yes,LaLaPaRuZa R1
L0580,US17E15,S0272,Q0225,Q0222,Q0222,Q0225,SURVIVAL,Yes,LaLaPaRuZa R1
L0581,US17E15,S0273,Q0221,Q0219,Q0219,Q0221,SURVIVAL,Yes,LaLaPaRuZa R1
L0582,US17E15,S0083,Q0220,Q0217,Q0217,Q0220,SURVIVAL,Yes,LaLaPaRuZa R1
L0583,US17E15,S0274,Q0222,Q0216,Q0216,Q0222,SURVIVAL,Yes,LaLaPaRuZa R2
L0584,US17E15,S0275,Q0219,Q0217,Q0219,Q0217,SURVIVAL,Yes,LaLaPaRuZa semi 3-way (Kori/Lana/Lydia)
L0585,US17E15,S0193,Q0216,Q0219,Q0216,Q0219,SURVIVAL,Yes,LaLaPaRuZa FINAL; Suzie wins SDADHH
L0586,US17E16,S0276,Q0212,Q0213,Q0212,,CROWN,No,finale top-2; Onya crowned (Sapphira Cristál's drag daughter)
L0587,US18E01,S0277,Q0227,Q0235,Q0227,Q0235,TOPS,No,top-2 LSFTW; Nini won week
L0588,US18E02,S0278,Q0239,Q0238,Q0238,Q0239,NORMAL,No,DD Fuego eliminated
L0589,US18E03,S0279,Q0237,Q0238,Q0237,Q0238,NORMAL,No,Mandy eliminated
L0590,US18E04,S0280,Q0237,Q0232,Q0232,Q0237,NORMAL,No,Briar eliminated
L0591,US18E05,S0281,Q0229,Q0234,Q0229,-,TOPS,No,top-2 LSFTW; double win - Juicy and Mia Starr both declared winners (WP)
L0592,US18E06,S0030,Q0236,Q0226,Q0226,Q0236,NORMAL,No,Ciara eliminated (Athena/Jane top-2 LSFTW won by Athena same ep)
L0593,US18E07,S0282,Q0229,Q0235,Q0229,Q0235,NORMAL,No,Vita eliminated
L0594,US18E08,S0283,Q0232,Q0234,Q0232,Q0234,NORMAL,No,Mia eliminated
L0595,US18E09,S0284,Q0233,Q0229,Q0229,Q0233,NORMAL,No,Athena eliminated
L0596,US18E11,S0195,Q0229,Q0232,Q0229,Q0232,NORMAL,No,Kenya eliminated (corrected from stub vs WP)
L0597,US18E12,S0285,Q0231,Q0227,Q0227,Q0231,NORMAL,No,Discord eliminated
L0598,US18E13,S0525,Q0230,Q0227,Q0227,Q0230,NORMAL,No,Jane Don't eliminated
L0599,US18E14,S0196,Q0229,Q0227,Q0227,Q0229,NORMAL,No,Juicy eliminated 4th
L0600,US18E16,S0286,Q0226,Q0227,Q0226,,CROWN,No,finale top-2 (from top3 Darlene/Myki/Nini); Myki crowned
L0601,US18E06,S0527,Q0233,Q0230,Q0233,-,TOPS,No,LSFTW top-2; Athena won week
L0602,US18E10,S0526,Q0230,Q0232,Q0230,-,TOPS,No,LSFTW top-2; Jane won week
L0603,US18E15,S0075,Q0233,Q0236,Q0236,-,TOPS,No,Smackdown rd 1
L0604,US18E15,S0528,Q0238,Q0234,Q0234,-,TOPS,No,Smackdown rd 1
L0605,US18E15,S0529,Q0239,Q0235,Q0235,-,TOPS,No,Smackdown rd 1
L0606,US18E15,S0108,Q0234,Q0235,Q0234,-,TOPS,No,Smackdown rd 2
L0607,US18E15,S0530,Q0236,Q0232,Q0232,-,TOPS,No,Smackdown rd 1
L0608,US18E15,S0063,Q0231,Q0230,Q0230,-,TOPS,No,Smackdown rd 1
L0609,US18E15,S0531,Q0230,Q0229,Q0229,-,TOPS,No,Smackdown rd 2
L0610,US18E15,S0532,Q0232,Q0234,Q0234,-,TOPS,No,Smackdown rd 2
L0611,US18E15,S0007,Q0229,Q0234,Q0229,-,TOPS,No,Smackdown final; Juicy won
L0612,US13E15,S0349,Q0162,Q0164,Q0162,-,TOPS,No,Grand finale charity smackdown bout; Denali (NCTE) d. LaLa Ri (NBJC)
L0613,AS09E12,S0533,Q0170,Q0127,Q0170,Q0127,CROWN,No,Lip sync for the crown; Angeria crowned AS9
L0614,AS02E01,S0375,Q0049,Q0013,Q0049,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0615,AS02E02,S0376,Q0079,Q0048,Q0048,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0616,AS02E03,S0200,Q0050,Q0052,Q0052,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0617,AS02E04,S0377,Q0036,Q0048,Q0048,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0618,AS02E06,S0379,Q0079,Q0048,Q0048,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0619,AS02E07,S0380,Q0050,Q0079,Q0050,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0620,AS03E01,S0320,Q0065,Q0109,Q0065,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0621,AS03E02,S0321,Q0065,Q0021,Q0021,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0622,AS03E03,S0322,Q0065,Q0078,Q0078,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0623,AS03E04,S0323,Q0065,Q0021,-,-,TOPS,No,Lip Sync for Your Legacy (top two); double win (tie)
L0624,AS03E05,S0324,Q0001,Q0080,Q0001,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0625,AS03E06,S0325,Q0001,Q0065,Q0065,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0626,AS03E07,S0326,Q0080,Q0021,Q0021,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0627,AS03E08,S0327,Q0078,Q0080,Q0080,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0628,AS04E01,S0287,Q0104,Q0121,Q0104,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0629,AS04E02,S0288,Q0119,Q0107,Q0107,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0630,AS04E03,S0289,Q0023,Q0104,Q0023,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0631,AS04E04,S0290,Q0023,Q0121,Q0121,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0632,AS04E05,S0291,Q0023,Q0119,-,-,TOPS,No,Lip Sync for Your Legacy (top two); double win (tie)
L0633,AS04E07,S0292,Q0037,Q0104,Q0037,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0634,AS04E08,S0293,Q0119,Q0091,Q0091,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0635,AS04E09,S0294,Q0121,Q0104,Q0104,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0636,AS04E10,S0295,Q0119,Q0104,-,-,TOPS,No,Lip Sync for Your Legacy (top two); double win (tie)
L0637,AS05E02,S0353,Q0103,Q0052,Q0103,-,TOPS,No,Lip Sync for Your Legacy vs assassin; winner inferred from progression WIN
L0638,AS05E03,S0354,Q0012,Q0119,Q0119,-,TOPS,No,Lip Sync for Your Legacy vs assassin
L0639,AS05E04,S0355,Q0118,Q0017,-,-,TOPS,No,Lip Sync for Your Legacy vs assassin; double win (tie)
L0640,AS05E05,S0356,Q0103,Q0127,Q0103,-,TOPS,No,Lip Sync for Your Legacy vs assassin
L0641,AS07E01,S0328,Q0119,Q0103,Q0103,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0642,AS07E02,S0329,Q0047,Q0104,Q0047,-,CROWN,No,Lip Sync for Your Legacy (top two)
L0643,AS07E03,S0322,Q0144,Q0104,Q0144,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0644,AS07E04,S0330,Q0047,Q0240,Q0240,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0645,AS07E05,S0331,Q0047,Q0022,Q0047,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0646,AS07E06,S0332,Q0240,Q0128,Q0240,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0647,AS07E07,S0333,Q0144,Q0104,Q0104,-,CROWN,No,Lip Sync for Your Legacy (top two)
L0648,AS07E08,S0334,Q0022,Q0240,Q0022,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0649,AS07E09,S0335,Q0047,Q0119,Q0119,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0650,AS07E10,S0336,Q0047,Q0104,Q0047,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0651,AS07E11,S0337,Q0119,Q0103,Q0103,-,CROWN,No,Lip Sync for Your Legacy (top two)
L0652,AS08E01,S0308,Q0140,Q0109,Q0109,-,CROWN,No,Lip Sync for Your Legacy vs assassin; assassin won
L0653,AS08E02,S0309,Q0241,Q0401,Q0401,-,TOPS,No,Lip Sync for Your Legacy vs assassin; assassin won
L0654,AS08E03,S0310,Q0015,Q0135,Q0015,-,TOPS,No,Lip Sync for Your Legacy vs assassin; winner inferred from progression WIN
L0655,AS08E04,S0311,Q0241,Q0004,Q0004,-,TOPS,No,Lip Sync for Your Legacy vs assassin; assassin won
L0656,AS08E05,S0312,Q0241,Q0175,Q0175,-,TOPS,No,Lip Sync for Your Legacy vs assassin; assassin won
L0657,AS08E06,S0313,Q0156,Q0170,Q0156,-,TOPS,No,Lip Sync for Your Legacy vs assassin; winner inferred from progression WIN
L0658,AS08E07,S0314,Q0164,Q0174,Q0164,-,TOPS,No,Lip Sync for Your Legacy vs assassin; winner inferred from progression WIN
L0659,AS08E08,S0315,Q0105,Q0152,Q0105,-,TOPS,No,Lip Sync for Your Legacy vs assassin; winner inferred from progression WIN
L0660,AS08E09,S0316,Q0241,Q0131,Q0241,-,TOPS,No,Lip Sync for Your Legacy vs assassin; winner inferred from progression WIN
L0661,AS08E10,S0317,Q0156,Q0242,Q0242,-,TOPS,No,Lip Sync for Your Legacy vs assassin; assassin won
L0662,AS08E11,S0318,Q0114,Q0164,-,-,TOPS,No,Lip Sync for Your Legacy (top two); double win (tie)
L0663,AS09E01,S0344,Q0170,Q0174,Q0170,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0664,AS09E02,S0345,Q0157,Q0134,Q0157,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0665,AS09E03,S0346,Q0157,Q0132,Q0157,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0666,AS09E04,S0347,Q0049,Q0127,-,-,TOPS,No,Lip Sync for Your Legacy (top two); double win (tie)
L0667,AS09E05,S0348,Q0134,Q0049,Q0049,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0668,AS09E06,S0349,Q0170,Q0134,Q0170,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0669,AS09E07,S0215,Q0170,Q0132,Q0170,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0670,AS09E08,S0350,Q0134,Q0049,Q0049,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0671,AS09E09,S0351,Q0174,Q0004,-,-,TOPS,No,Lip Sync for Your Legacy (top two); double win (tie)
L0672,AS09E10,S0069,Q0049,Q0004,Q0049,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0674,AS10E01,S0296,Q0109,Q0197,Q0109,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0675,AS10E02,S0297,Q0171,Q0197,Q0171,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0676,AS10E03,S0298,Q0171,Q0197,Q0197,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0677,AS10E04,S0299,Q0218,Q0161,Q0218,-,TOPS,No,Lip Sync for Your Legacy (top two)
