song_id,title,artist,times_used,spotify_track_id,is_rumix,catalog
S0075,Born Naked,RuPaul ft. Clairy Browne,2,5FeVPUjr844TQwDv5bjdLH,Yes,LIPSYNC
S0076,Applause,Lady Gaga,1,-,No,LIPSYNC
S0077,I Will Survive,Gloria Gaynor,1,3w6pJOXPru3MUSsoKTpxGR,No,LIPSYNC
S0079,Call Me,Blondie,1,-,No,LIPSYNC
S0080,Causing a Commotion,Madonna,1,3sX3c6QUPSAiKf77RZRf5B,No,LIPSYNC
S0081,I Love It,Icona Pop ft. Charli XCX,1,6HZ9VeI5IRFCNQLXhpF4bq,No,LIPSYNC
S0082,And I Am Telling You I'm Not Going,Jennifer Holliday,1,-,No,LIPSYNC
S0083,You Make Me Feel (Mighty Real),Sylvester,3,7yBQK34HQlU7dofQlTVUjX,No,LIPSYNC
S0084,The Realness,RuPaul,1,65mWyUO2xg3otC5ecOtFpP,Yes,LIPSYNC
S0085,Love Shack,The B-52's,1,4W4wYHtsrgDiivRASVOINL,No,LIPSYNC
S0086,Holding Out for a Hero,Bonnie Tyler,2,4ojl5o30oQFdavVkpYYgYk,No,LIPSYNC
S0087,I Wanna Go,Britney Spears,1,5cCAZS9VhLGEDV4NCfieeg,No,LIPSYNC
S0088,Woman Up,Meghan Trainor,1,2bUWLYU3s6sbQqlo7075Og,No,LIPSYNC
S0089,Music,Madonna,1,2BcOZ4vOeu2qZowIHrvTYy,No,LIPSYNC
S0090,Finally,CeCe Peniston,2,3teSa0vcp84HTzswgvL1zk,No,LIPSYNC
S0091,Baby I'm Burnin',Dolly Parton,1,2Asiem9O0YGuvvoAkz8aSq,No,LIPSYNC
S0092,Greedy,Ariana Grande,1,-,No,LIPSYNC
S0093,Cool for the Summer,Demi Lovato,1,-,No,LIPSYNC
S0094,Macho Man,Village People,1,-,No,LIPSYNC
S0095,U Wear It Well,RuPaul,1,5ZPm6L12nA9nK3AAIxNa3Y,Yes,LIPSYNC
S0096,"It's Not Right, but It's Okay",Whitney Houston,1,7861kBrZ5aw7o4NfggcyYW,No,LIPSYNC
S0097,Ain't No Other Man,Christina Aguilera,1,7huo2wvrCgRucUsjdSDLQV,No,LIPSYNC
S0098,Best of My Love,The Emotions,1,2M2WJ7gBlcKNxdhyfPp9zY,No,LIPSYNC
S0099,Celebrity Skin,Hole,1,-,No,LIPSYNC
S0100,Pound the Alarm,Nicki Minaj,1,-,No,LIPSYNC
S0102,I'm Coming Out,Diana Ross,1,-,No,LIPSYNC
S0103,Cut to the Feeling,Carly Rae Jepsen,1,-,No,LIPSYNC
S0104,Groove Is in the Heart,Deee-Lite,2,2He3NOyqtLNE3RQPpeDdSb,No,LIPSYNC
S0105,New Attitude,Patti LaBelle,1,-,No,LIPSYNC
S0106,Good as Hell,Lizzo,1,6KgBpzTuTRPebChN0VTyzV,No,LIPSYNC
S0107,Nasty Girl,Vanity 6,1,-,No,LIPSYNC
S0108,Call Me Mother,RuPaul,2,0SENYBHXBj0TI1ZygWwxee,Yes,LIPSYNC
S0109,Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",2,-,No,LIPSYNC
S0111,Work Bitch,Britney Spears,2,3KliPMvk1EvFZu9cvkj8p1,No,LIPSYNC
S0113,Living in America,James Brown,1,0T1OrvV6bOQVL2vSQiDn6W,No,LIPSYNC
S0115,Last Dance,Donna Summer,1,-,No,LIPSYNC
S0116,Strut,Sheena Easton,1,0ZK0P2YjZIHTuXMsSZ67SH,No,LIPSYNC
